@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.53394,0.45125,0.48903,0.45628,0.51170,0.44703,0.48575,0.50603,0.48471,0.47335,0.45406,0.48322,0.53800,0.50723,0.43884,0.51550,0.50311,0.48623,0.47389,0.50067,0.49296,0.91399,0.40253,0.88853,0.89455,0.48614,0.91868,0.04000,gang
0.53346,0.45584,0.48277,0.46969,0.51635,0.45675,0.47923,0.49976,0.47768,0.47146,0.45607,0.47760,0.54249,0.50860,0.44659,0.51444,0.50331,0.49306,0.46558,0.49788,0.49893,0.91876,0.41341,0.88381,0.91459,0.47880,0.90577,0.04189,gang
0.53975,0.45456,0.48609,0.46601,0.49770,0.45818,0.47765,0.51578,0.47099,0.47211,0.45549,0.48195,0.54076,0.50667,0.44273,0.50982,0.50408,0.49030,0.46562,0.49919,0.50535,0.94140,0.45311,0.86270,0.92315,0.47824,0.93613,0.04164,gang
0.53297,0.45710,0.47746,0.45937,0.51118,0.45216,0.48372,0.50369,0.48831,0.47105,0.45726,0.47924,0.54427,0.50801,0.44624,0.51055,0.50408,0.49281,0.47099,0.49899,0.49963,0.91751,0.45045,0.90331,0.93218,0.46925,0.93836,0.03582,gang
0.53849,0.45595,0.48753,0.46412,0.50833,0.45011,0.48246,0.50544,0.47725,0.46956,0.45979,0.48329,0.54135,0.50376,0.44666,0.51323,0.50405,0.48861,0.46356,0.49825,0.50488,0.94278,0.41657,0.97693,0.94889,0.46589,0.92472,0.04448,gang
0.55403,0.48741,0.49164,0.49909,0.55535,0.49065,0.49700,0.52206,0.50437,0.47937,0.43693,0.48615,0.49422,0.44851,0.46553,0.50184,0.48030,0.49019,0.34220,0.29814,0.45635,0.86569,0.43274,0.87587,0.82206,0.86486,0.93040,0.30014,hai
0.55270,0.48409,0.49319,0.49719,0.56572,0.49122,0.49812,0.51865,0.50433,0.48122,0.43630,0.48752,0.49389,0.44781,0.46909,0.50074,0.48023,0.49013,0.34345,0.29288,0.46175,0.88068,0.40055,0.88239,0.81017,0.87896,0.95137,0.30306,hai
0.55530,0.48488,0.49372,0.50307,0.55559,0.48998,0.49843,0.52527,0.50483,0.47989,0.43674,0.49111,0.49186,0.45166,0.47248,0.50214,0.48108,0.49008,0.33575,0.30163,0.46974,0.87504,0.42896,0.87628,0.82567,0.87569,0.93572,0.30179,hai
0.55679,0.48701,0.49468,0.49715,0.56763,0.49632,0.49916,0.52142,0.50734,0.47849,0.43759,0.48854,0.49055,0.45091,0.46954,0.50186,0.48270,0.49032,0.33884,0.29277,0.45496,0.85174,0.40428,0.88198,0.84177,0.87706,0.93366,0.31022,hai
0.56112,0.49352,0.49601,0.49578,0.56107,0.49800,0.49934,0.52717,0.50986,0.48267,0.43748,0.48659,0.49375,0.45264,0.46801,0.50262,0.47960,0.49028,0.34410,0.28274,0.44852,0.80908,0.43177,0.87793,0.82781,0.87417,0.92838,0.31689,hai
