@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.12856,-0.20644,-0.04128,-0.14260,0.01136,-0.18632,-0.07396,0.04912,-0.11228,-0.12992,-0.20044,-0.03548,0.15248,0.03364,-0.25124,0.07596,0.01508,-0.04836,-0.12692,-0.00992,0.01068,2.83400,1.35082,2.82495,2.84396,1.32135,2.67918,0.13292,gang
0.10956,-0.18708,-0.09344,-0.14324,0.03384,-0.19368,-0.03544,0.02496,-0.04976,-0.10404,-0.17580,-0.07788,0.15864,0.02236,-0.22352,0.04620,0.01460,-0.03932,-0.14808,-0.00708,0.00348,2.79341,1.54548,2.97936,2.81678,1.55512,2.95168,0.15415,gang
0.13924,-0.18800,-0.04456,-0.13956,0.02176,-0.19996,-0.06496,0.01880,-0.09052,-0.11960,-0.17340,-0.06328,0.14352,-0.00604,-0.20112,0.06480,0.00984,-0.05840,-0.15272,-0.01776,0.02356,2.88926,1.36471,3.05743,2.90723,1.56187,2.83174,0.17726,gang
0.14272,-0.18256,-0.03604,-0.15564,0.04444,-0.20992,-0.05248,0.03284,-0.06556,-0.10924,-0.17492,-0.07372,0.17436,0.03916,-0.20672,0.03776,0.01900,-0.03688,-0.14700,-0.00396,-0.00860,2.91452,1.24187,2.89699,2.86670,1.42776,2.99893,0.15530,gang
0.13440,-0.18864,-0.06396,-0.15004,0.03988,-0.19688,-0.05188,0.02608,-0.06968,-0.11776,-0.16700,-0.07064,0.16492,0.01904,-0.22420,0.09000,0.00984,-0.02212,-0.11024,-0.00708,0.02388,2.89520,1.36361,3.01348,2.91103,1.49618,2.53850,0.12322,gang
0.13292,-0.19928,-0.05440,-0.16380,0.05716,-0.21596,-0.04156,0.01960,-0.05596,-0.11740,-0.17900,-0.07568,0.17520,0.03208,-0.24796,0.06384,0.01260,-0.02900,-0.11900,-0.00040,-0.00840,2.84496,1.30250,2.93063,2.86187,1.49559,2.59879,0.12873,gang
0.21612,-0.05036,-0.03344,-0.00364,0.22140,-0.03740,-0.01200,0.08824,0.01748,-0.08252,-0.25228,-0.05540,-0.02312,-0.20596,-0.13788,0.00736,-0.07880,-0.03924,-0.63120,-0.80744,-0.17460,2.71965,1.35949,2.75163,2.58258,2.71704,2.92294,1.03971,hai
0.21080,-0.06364,-0.02724,-0.01124,0.26288,-0.03512,-0.00752,0.07460,0.01732,-0.07512,-0.25480,-0.04992,-0.02444,-0.20876,-0.12364,0.00296,-0.07908,-0.03948,-0.62620,-0.82848,-0.15300,2.76674,1.25836,2.77211,2.54522,2.76133,2.98882,1.04983,hai
0.21536,-0.04728,-0.00176,-0.03088,0.25972,-0.03232,-0.01328,0.08152,0.02060,-0.09008,-0.24416,-0.06068,-0.03228,-0.20468,-0.13240,0.00324,-0.07092,-0.03904,-0.62484,-0.82200,-0.23312,2.70243,1.23999,2.76435,2.63149,2.75738,2.95514,1.05887,hai
0.22816,-0.06384,-0.00184,0.02532,0.21700,-0.03372,0.00592,0.09972,0.02400,-0.07576,-0.23888,-0.07332,-0.02040,-0.20120,-0.13612,0.01060,-0.06236,-0.03172,-0.66484,-0.76636,-0.22060,2.73765,1.37668,2.75229,2.61198,2.79294,2.93931,1.04682,hai
0.23460,-0.06800,0.02476,0.01312,0.22764,-0.03564,0.00352,0.10004,0.01948,-0.09312,-0.24264,-0.05488,-0.02552,-0.19404,-0.13312,0.00984,-0.06860,-0.03744,-0.64760,-0.77136,-0.23776,2.59829,1.28950,2.79382,2.72605,2.71006,2.93909,1.04346,hai
0.24840,-0.04124,0.01428,0.01912,0.24112,-0.04376,0.00912,0.10172,0.02612,-0.07468,-0.23348,-0.06820,-0.03880,-0.19056,-0.13188,0.00480,-0.07296,-0.04328,-0.70132,-0.82524,-0.22524,2.61767,1.44403,2.67868,2.64230,2.81289,2.95303,1.11482,hai
0.25020,-0.08544,0.03504,0.01676,0.26484,-0.04168,0.01004,0.08600,0.01828,-0.07892,-0.24004,-0.07224,-0.03836,-0.19472,-0.13448,0.00764,-0.06440,-0.03732,-0.65916,-0.77432,-0.22632,2.44708,1.25406,2.64535,2.69901,2.81515,2.92281,1.05073,hai
0.22720,-0.05376,-0.00316,0.00172,0.27220,-0.01600,-0.00024,0.07664,0.02668,-0.09840,-0.24648,-0.05524,-0.03620,-0.19440,-0.13636,0.00696,-0.07104,-0.03672,-0.65920,-0.81368,-0.21808,2.63357,1.30448,2.76011,2.69866,2.71776,2.92046,1.07806,hai
